,ML_method,Training_set,N_Retrains,Queries_to_Oracle,F1,Normal_traffic_label_err_rate_FPR,Botnet_label_err_rate_FNR,Number_of_Samples_trained,Precision,Recall,Training_Time,Testing_Time,Tuning_Time,Number_of_Clusters,Cluster Noises,Prob_1s,init_train_sample_sz,init_batch_sz
37,RF_EnS_avg_th_50,train_1,10,2216,0.842970616008443,0.0683039140445126,0.2425876010781671,27500.0,0.9154669025979248,0.7811138180695193,0.3931381702423095,0.065540075302124,17.634220361709595,6,0,0.0,0,500
38,KNN_EnS_avg_th_50,train_1,10,2216,0.8315503173164099,0.0683039140445126,0.2425876010781671,27500.0,0.8816857000038452,0.7868098685790756,0.0876691341400146,4.161358594894409,28.58579397201538,6,0,0.0,0,500
39,EnS_avg_th_50,train_1,10,2216,0.8298560419862139,0.0683039140445126,0.2425876010781671,27500.0,0.8991990388466159,0.7704423017534228,16.042932987213135,13.432724952697754,28.58579397201538,6,0,0.0,0,500
40,CNN_EnS_avg_th_50,train_1,11,2326,0.7811315724324428,0.058498023715415,0.2229299363057324,30500.0,0.8776532009585758,0.7037367463884981,16.396438360214233,0.3097543716430664,80.31196761131287,2,0,0.0,0,500
41,RF_EnS_avg_th_50,train_1,11,2326,0.842911877394636,0.058498023715415,0.2229299363057324,30500.0,0.9150458125703264,0.7813196994132382,0.4103269577026367,0.0624873638153076,22.486165761947632,2,0,0.0,0,500
42,KNN_EnS_avg_th_50,train_1,11,2326,0.8313970374673252,0.058498023715415,0.2229299363057324,30500.0,0.8826363461167855,0.7857804618604811,0.0547878742218017,7.985768318176269,29.854689836502075,2,0,0.0,0,500
43,EnS_avg_th_50,train_1,11,2326,0.831916745365998,0.058498023715415,0.2229299363057324,30500.0,0.9035800482703138,0.7707854373262876,16.861553192138672,17.248934268951416,29.854689836502075,2,0,0.0,0,500
44,CNN_EnS_avg_th_50,train_1,12,2426,0.8187066343719838,0.0706686930091184,0.2319894249834765,33500.0,0.8723222601676498,0.7713001406855848,18.032740592956543,0.2845973968505859,82.20426297187805,2,0,0.0,0,500
45,RF_EnS_avg_th_50,train_1,12,2426,0.8425970558789722,0.0706686930091184,0.2319894249834765,33500.0,0.9164750957854406,0.77974127577806,4.458161354064941,0.6109368801116943,20.95699167251587,2,0,0.0,0,500
46,KNN_EnS_avg_th_50,train_1,12,2426,0.8350359646726759,0.0706686930091184,0.2319894249834765,33500.0,0.8896476796523358,0.7867412414645026,0.0590837001800537,7.229439973831177,38.26613473892212,2,0,0.0,0,500
