,ML_method,Training_set,N_Retrains,Queries_to_Oracle,F1,Normal_traffic_label_err_rate_FPR,Botnet_label_err_rate_FNR,Number_of_Samples_trained,Precision,Recall,Training_Time,Testing_Time,Tuning_Time,Number_of_Clusters,Cluster Noises,Prob_1s,init_train_sample_sz,init_batch_sz
0,AL_KNN_US,train_1,1,0,0.7606316112218304,1.0,1.0,500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
1,AL_KNN_US,train_1,2,703,0.7606316112218304,0.12166172106824924,0.08942457231726286,3500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
2,AL_KNN_US,train_1,3,1356,0.7606316112218304,0.12188099808061426,0.09118773946360148,6500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
3,AL_KNN_US,train_1,4,1999,0.7606316112218304,0.13187855787476277,0.08058326937835769,9500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
4,AL_KNN_US,train_1,5,2625,0.7606316112218304,0.125,0.08015267175572516,12500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
5,AL_KNN_US,train_1,6,3312,0.7606316112218304,0.1267217630853994,0.06781045751633985,15500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
6,AL_KNN_US,train_1,7,3958,0.7606316112218304,0.11690821256038653,0.07505686125852917,18500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
7,AL_KNN_US,train_1,8,4643,0.7606316112218304,0.13052011776251227,0.09336419753086422,21500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
8,AL_KNN_US,train_1,9,5313,0.7606316112218304,0.12670565302144254,0.07898773006134974,24500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
9,AL_KNN_US,train_1,10,5972,0.7606316112218304,0.1265116279069768,0.08214849921011058,27500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
10,AL_KNN_US,train_1,11,6642,0.7606316112218304,0.11937377690802353,0.08868501529051986,30500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
11,AL_KNN_US,train_1,12,7322,0.7606316112218304,0.12488083889418489,0.06372934697088906,33500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
12,AL_KNN_US,train_1,13,7992,0.7606316112218304,0.12450199203187251,0.07843137254901966,36500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
13,AL_KNN_US,train_1,14,8638,0.7606316112218304,0.13770180436847101,0.07455803228285929,39500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
14,AL_KNN_US,train_1,15,9308,0.7606316112218304,0.11266201395812558,0.08741522230595333,42500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
15,AL_KNN_US,train_1,16,9955,0.7606316112218304,0.13503305004721433,0.07573415765069547,45500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
16,AL_KNN_US,train_1,17,10615,0.7606316112218304,0.11428571428571432,0.07441860465116279,48500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
17,AL_KNN_US,train_1,18,11255,0.7606316112218304,0.11008325624421833,0.07974980453479286,51500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
18,AL_KNN_US,train_1,19,11896,0.7606316112218304,0.12523191094619668,0.08587041373926618,54500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
19,AL_KNN_US,train_1,20,12531,0.7606316112218304,0.12010919017288446,0.08056872037914697,57500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
20,AL_KNN_US,train_1,21,13197,0.7606316112218304,0.1313035204567079,0.06469212782540923,60500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
21,AL_KNN_US,train_1,22,13846,0.7606316112218304,0.12426614481409004,0.09480812641083525,63500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
22,AL_KNN_US,train_1,23,14467,0.7606316112218304,0.12545787545787546,0.08313908313908314,66500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
23,AL_KNN_US,train_1,24,15115,0.7606316112218304,0.11902530459231486,0.09416342412451362,69500.0,0.6874497741568986,0.8512507291630923,0.0017807483673095703,0.3531649112701416,14.493665218353271,0,0,0.0,0,500
