,ML_method,Training_set,N_Retrains,Queries_to_Oracle,F1,Normal_traffic_label_err_rate_FPR,Botnet_label_err_rate_FNR,Number_of_Samples_trained,Precision,Recall,Training_Time,Testing_Time,Tuning_Time,Number_of_Clusters,Cluster Noises,Prob_1s,init_train_sample_sz,init_batch_sz
0,CNN_EnS_avg_th_90,train_1,1,0,0.0,1.0,1.0,500.0,0.0,0.0,1.3315434455871582,0.3028044700622558,51.40015506744385,0,0,0.0,0,500
1,RF_EnS_avg_th_90,train_1,1,0,0.9023659360953344,1.0,1.0,500.0,0.9165457441160856,0.8886181930480733,0.2601256370544433,0.0950093269348144,16.477394580841064,0,0,0.0,0,500
2,KNN_EnS_avg_th_90,train_1,1,0,0.7606316112218304,1.0,1.0,500.0,0.6874497741568986,0.8512507291630923,0.0012986660003662,0.3376922607421875,9.56722927093506,0,0,0.0,0,500
3,EnS_avg_th_90,train_1,1,0,0.8310202250072118,1.0,1.0,500.0,0.7796421590738235,0.8896475997666679,1.5929677486419678,9.676443099975586,9.56722927093506,0,0,0.0,0,500
4,CNN_EnS_avg_th_90,train_1,2,1027,0.1226595338173481,0.0213963963963963,0.048847926267281,3500.0,0.8518354710305175,0.0660879113337679,2.775365114212036,0.2794568538665771,54.953603982925415,3,0,0.0,0,500
5,RF_EnS_avg_th_90,train_1,2,1027,0.9270233952382594,0.0213963963963963,0.048847926267281,3500.0,0.9308722277964224,0.923206258792849,1.46808123588562,0.4771978855133056,14.599604845046995,3,0,0.0,0,500
6,KNN_EnS_avg_th_90,train_1,2,1027,0.885162499581618,0.0213963963963963,0.048847926267281,3500.0,0.8639378001372056,0.907456335998353,0.0101346969604492,0.976942539215088,10.715912818908691,3,0,0.0,0,500
7,EnS_avg_th_90,train_1,2,1027,0.908516814640026,0.0213963963963963,0.048847926267281,3500.0,0.8990391076468217,0.9181964794290224,4.2535810470581055,10.719438791275024,10.715912818908691,3,0,0.0,0,500
8,CNN_EnS_avg_th_90,train_1,3,1457,6.862475981334065e-05,0.0494791666666666,0.0465444287729196,6500.0,1.0,3.431355728648389e-05,4.109870910644531,0.2771604061126709,57.638592004776,4,0,0.0,0,500
9,RF_EnS_avg_th_90,train_1,3,1457,0.9287477771447316,0.0494791666666666,0.0465444287729196,6500.0,0.934637570366252,0.9229317503345572,0.6866574287414551,0.2053062915802002,23.107399463653564,4,0,0.0,0,500
10,KNN_EnS_avg_th_90,train_1,3,1457,0.895118689401538,0.0494791666666666,0.0465444287729196,6500.0,0.8727385337549304,0.9186768692310332,0.0148401260375976,1.7502758502960205,18.12625765800476,4,0,0.0,0,500
11,EnS_avg_th_90,train_1,3,1457,0.9093577718908856,0.0494791666666666,0.0465444287729196,6500.0,0.9504957904583724,0.8716329821912637,4.811368465423584,11.422342538833618,18.12625765800476,4,0,0.0,0,500
12,CNN_EnS_avg_th_90,train_1,4,2557,0.8058188824662813,0.0,0.1784140969162996,9500.0,0.918882102210309,0.7175307964176646,5.921807050704956,0.2913057804107666,59.42583870887756,9,0,0.0,0,500
13,RF_EnS_avg_th_90,train_1,4,2557,0.9291881957207752,0.0,0.1784140969162996,9500.0,0.9391539027724228,0.9194317674913358,0.3875389099121094,0.1193335056304931,16.713233709335327,9,0,0.0,0,500
14,KNN_EnS_avg_th_90,train_1,4,2557,0.8956773889001282,0.0,0.1784140969162996,9500.0,0.8803897524276671,0.911505335758158,0.01418137550354,3.395219087600708,15.428200960159302,9,0,0.0,0,500
15,EnS_avg_th_90,train_1,4,2557,0.9168216573672248,0.0,0.1784140969162996,9500.0,0.920276577355229,0.9133925814089148,6.3235273361206055,12.113975048065186,15.428200960159302,9,0,0.0,0,500
16,CNN_EnS_avg_th_90,train_1,5,2937,0.8606046426124304,0.0326359832635982,0.0533333333333333,12500.0,0.8388610151821203,0.8835054730123872,7.292194843292236,0.4820237159729004,62.11321306228638,3,0,0.0,0,500
17,RF_EnS_avg_th_90,train_1,5,2937,0.9300052002080084,0.0326359832635982,0.0533333333333333,12500.0,0.9397134550040284,0.9204954877672168,0.4269585609436035,0.1507463455200195,18.478233098983765,3,0,0.0,0,500
18,KNN_EnS_avg_th_90,train_1,5,2937,0.8997341694499352,0.0326359832635982,0.0533333333333333,12500.0,0.8936731999593784,0.9058779123631748,0.0339696407318115,2.5631508827209477,21.24609589576721,3,0,0.0,0,500
19,EnS_avg_th_90,train_1,5,2937,0.917212890891711,0.0326359832635982,0.0533333333333333,12500.0,0.9125709045209062,0.9219023436159628,7.753123044967651,12.069860458374023,21.24609589576721,3,0,0.0,0,500
20,CNN_EnS_avg_th_90,train_1,6,3204,0.8630710741671501,0.0464933018124507,0.0539617486338798,15500.0,0.8134090426016458,0.9191915725903304,8.666383028030396,0.3003296852111816,65.34299898147583,3,0,0.0,0,500
21,RF_EnS_avg_th_90,train_1,6,3204,0.9302535133168136,0.0464933018124507,0.0539617486338798,15500.0,0.939648533221312,0.9210445046838006,1.6622822284698486,0.3420851230621338,17.727132558822632,3,0,0.0,0,500
22,KNN_EnS_avg_th_90,train_1,6,3204,0.9033291307459026,0.0464933018124507,0.0539617486338798,15500.0,0.8970931609759399,0.909652403664688,0.0424444675445556,2.8790950775146484,23.98125672340393,3,0,0.0,0,500
23,EnS_avg_th_90,train_1,6,3204,0.919504538319798,0.0464933018124507,0.0539617486338798,15500.0,0.9144185415182056,0.9246474281988812,10.3711097240448,12.643057107925417,23.98125672340393,3,0,0.0,0,500
24,CNN_EnS_avg_th_90,train_1,7,3446,0.8496210112604884,0.0463576158940397,0.0445161290322581,18500.0,0.7787848463187992,0.9346326733692482,10.018961429595947,0.2840833663940429,65.18591070175171,2,0,0.0,0,500
25,RF_EnS_avg_th_90,train_1,7,3446,0.9321284169056916,0.0463576158940397,0.0445161290322581,18500.0,0.938811736451916,0.92553958068833,0.3081023693084717,0.069211721420288,23.38918900489807,2,0,0.0,0,500
26,KNN_EnS_avg_th_90,train_1,7,3446,0.9047058622865818,0.0463576158940397,0.0445161290322581,18500.0,0.89944380383911,0.9100298527948392,0.0500159263610839,2.407557964324951,22.115174293518063,2,0,0.0,0,500
27,EnS_avg_th_90,train_1,7,3446,0.9165976016102024,0.0463576158940397,0.0445161290322581,18500.0,0.903802535023349,0.9297601482345674,10.377079725265505,11.030266284942629,22.115174293518063,2,0,0.0,0,500
28,CNN_EnS_avg_th_90,train_1,8,3667,0.8310890409937518,0.0566967953985209,0.0592783505154639,21500.0,0.7349403945563878,0.95618158734516,11.109403133392334,0.2839405536651611,73.07244634628296,8,0,0.0,0,500
29,RF_EnS_avg_th_90,train_1,8,3667,0.9323092359056862,0.0566967953985209,0.0592783505154639,21500.0,0.9400990789840916,0.9246474281988812,1.4471094608306885,0.2620248794555664,21.625235557556152,8,0,0.0,0,500
